"Pregunta","Dificultad","Discriminación"
"EAES301482",1.30883580881426,0.493443773044997
"EAES301942",1.39895842287108,0.493443773044997
"EAES301470",1.55957695948279,0.493443773044997
"EAES301547",1.96834016327243,0.493443773044997
"EAES301571",2.19822310577122,0.493443773044997
"EAES301861",3.55599724431093,0.493443773044997
"EAES301521",3.95792560457544,0.493443773044997
"EAES301548",0.5004353084505,0.45565236512917
"EAES301560",0.621788334700654,0.45565236512917
"EAES301501",0.682776263990426,0.45565236512917
"EAES301572",0.784945507178118,0.45565236512917
"EAES301471",2.15351610314183,0.45565236512917
"EAES301941",2.3023072632792,0.45565236512917
"EAES301483",3.31227736590939,0.45565236512917
"EAES301536",3.44163331681314,0.45565236512917
"EAES301523",3.64481925710733,0.45565236512917
"EAES301797",3.67986639169591,0.45565236512917
"EAES301549",0.609497739041794,0.45991231023667
"EAES301561",0.943443339024473,0.45991231023667
"EAES301939",1.40476959890021,0.45991231023667
"EAES301573",1.92021151163121,0.45991231023667
"EAES301796",2.07561292242953,0.45991231023667
"EAES301484",2.12837611103526,0.45991231023667
"EAES301525",2.26262836196027,0.45991231023667
"EAES301503",2.62972429069901,0.45991231023667
"EAES301537",3.69971341615131,0.45991231023667
"EAES301472",3.98277434591266,0.45991231023667
"EAES301550",-0.688487553339763,0.564367036985462
"EAES301538",0.251081868316824,0.564367036985462
"EAES301526",0.35556275792196,0.564367036985462
"EAES301562",0.460224891875068,0.564367036985462
"EAES301473",0.530536145097934,0.564367036985462
"EAES301795",0.869113363836688,0.564367036985462
"EAES301485",1.18356224700608,0.564367036985462
"EAES301505",1.29783199397095,0.564367036985462
"EAES301940",1.95196829160892,0.564367036985462
"EAES301574",2.15510980480006,0.564367036985462
"EAES301937",0.22627687902521,0.278580506821342
"EAES301474",1.76784175139405,0.278580506821342
"EAES301551",2.42154343870039,0.278580506821342
"EAES301527",2.59051848407277,0.278580506821342
"EAES301486",2.9367268138203,0.278580506821342
"EAES301563",3.11449222008204,0.278580506821342
"EAES301794",4.0628587270543,0.278580506821342
"EAES301539",4.26727249417026,0.278580506821342
"EAES301507",5.15295119589958,0.278580506821342
"EAES301575",6.79891758739362,0.278580506821342
"EAES301487",-0.682923772538455,0.407389133246009
"EAES301540",0.657368174133299,0.407389133246009
"EAES301552",0.759853395866561,0.407389133246009
"EAES301938",0.837094946878712,0.407389133246009
"EAES301528",1.09746559876635,0.407389133246009
"EAES302122",1.41739643214623,0.407389133246009
"EAES301475",2.15269805820078,0.407389133246009
"EAES301793",2.39523632760098,0.407389133246009
"EAES301564",2.74593580583094,0.407389133246009
"EAES301576",5.14463084556576,0.407389133246009
